,Country,Arrivals,Units,2018,2019,2020,2021,2022,Mean Total Arrivals,Recommendation,latitude,longitude,Avg Temp(°C),Avg Rainfall(mm)
89,Japan,total arrivals,thousands,31192.0,31882.0,4115.8,246.0,3832.0,14253.56,Go,36.204824,138.252924,25.0,3.0
90,Jordan,total arrivals,thousands,4922.0,5361.0,1240.0,2359.0,5049.1,3786.22,Go,30.585164,36.238414,25.0,2.9
91,Kazakhstan,total arrivals,thousands,8789.0,8515.0,2035.0,1330.0,4729.0,5079.6,Go,48.019573,66.923684,25.0,2.9
92,Kenya,total arrivals,thousands,2025.0,2049.0,568.0,870.0,1484.0,1399.2,Go,-0.023559,37.906193,26.0,2.8
93,Kiribati,total arrivals,thousands,9.0,12.0,1.4,0.07,1.8,4.854,No Go,-3.370417,-168.734039,0.0,0.0
94,"Korea, Republic Of",total arrivals,thousands,15347.0,17503.0,2519.0,967.0,3198.0,7906.8,Go,35.907757,127.766922,26.0,3.5
95,Kuwait,total arrivals,thousands,8508.0,8565.0,2161.0,1606.0,,5210.0,Go,29.31166,47.481766,26.0,2.8
96,Kyrgyzstan,total arrivals,thousands,6947.0,8508.0,2079.0,3169.0,6901.0,5520.8,Go,41.20438,74.766098,26.0,2.7
97,Lao People´S Democratic Republic,total arrivals,thousands,4186.0,4791.0,886.4,,,3287.8,Go,19.85627,102.495496,26.0,3.9
98,Latvia,total arrivals,thousands,7775.0,8342.0,3204.0,1937.0,,5314.5,Go,56.879635,24.603189,26.0,2.7
99,Lebanon,total arrivals,thousands,1964.0,1936.0,414.0,890.0,1466.0,1334.0,No Go,33.854721,35.862285,0.0,0.0
100,Lesotho,total arrivals,thousands,1173.0,1142.0,,279.0,,864.6666666666666,Go,-29.609988,28.233608,25.0,2.6
101,Liechtenstein,total arrivals,thousands,85.3,98.1,58.4,70.8,100.8,82.67999999999999,No Go,47.166,9.555373,0.0,0.0
102,Lithuania,total arrivals,thousands,6115.0,6150.0,2284.0,2096.0,4725.0,4274.0,Go,55.169438,23.881275,25.0,2.6
103,Luxembourg,total arrivals,thousands,1018.0,1041.0,525.0,615.0,1013.0,842.4,Go,49.815273,6.129583,25.0,2.6
104,"Macao, China",total arrivals,thousands,35804.0,39406.0,5897.0,7706.0,5700.3,18902.66,Go,22.198745,113.543873,27.0,4.7
105,Madagascar,total arrivals,thousands,360.0,486.0,87.1,7.8,,235.225,Go,-18.766947,46.869107,25.0,2.5
106,Malawi,total arrivals,thousands,871.0,978.0,199.0,432.0,,620.0,Go,-13.254308,34.301525,25.0,2.5
107,Malaysia,total arrivals,thousands,25832.0,35046.0,6102.0,399.0,19016.0,17279.0,Go,4.210484,101.975766,25.0,2.5
108,Maldives,total arrivals,thousands,1484.0,1703.0,555.0,1322.0,1675.0,1347.8,Go,3.202778,73.22068,25.0,2.5
109,Mali,total arrivals,thousands,203.0,217.0,75.0,168.0,,165.75,No Go,17.570692,-3.996166,0.0,0.0
110,Malta,total arrivals,thousands,3232.0,3519.0,718.0,1110.0,2776.2,2271.04,Go,35.937496,14.375416,25.0,2.5
111,Marshall Islands,total arrivals,thousands,6.8,6.1,2.0,0.035,,3.73375,No Go,7.131474,171.184478,0.0,0.0
112,Martinique,total arrivals,thousands,1002.0,919.0,523.6,312.0,661.0,683.52,Go,14.641528,-61.024174,25.0,2.4
113,Mauritius,total arrivals,thousands,1431.0,1418.0,315.6,180.3,1003.1,869.6,Go,-20.348404,57.552152,25.0,2.4
114,Mexico,total arrivals,thousands,96497.0,97406.0,51128.0,55301.0,65995.0,73265.4,No Go,23.634501,-102.552784,0.0,0.0
115,"Micronesia, Federated States Of",total arrivals,thousands,19.2,18.0,,,,18.6,No Go,7.425554,150.550812,0.0,0.0
116,"Moldova, Republic Of",total arrivals,thousands,160.0,174.0,29.0,69.0,162.0,118.8,No Go,47.411631,28.369885,0.0,0.0
117,Monaco,total arrivals,thousands,516.0,545.0,160.1,218.4,381.5,364.2,Go,43.750298,7.412841,25.0,2.4
118,Mongolia,total arrivals,thousands,598.0,637.0,66.9,39.2,301.0,328.42,Go,46.862496,103.846656,25.0,2.3
119,Montenegro,total arrivals,thousands,2077.0,2510.0,351.0,1554.0,2036.0,1705.6,Go,42.708678,19.37439,25.0,2.3
120,Montserrat,total arrivals,thousands,16.7,19.3,7.7,1.6,,11.325,No Go,16.742498,-62.187366,0.0,0.0
121,Morocco,total arrivals,thousands,12489.0,13109.0,2802.0,3722.0,10968.0,8618.0,Go,31.791702,-7.09262,25.0,2.3
122,Mozambique,total arrivals,thousands,2870.0,2033.0,959.0,549.0,879.0,1458.0,No Go,-18.665695,35.529562,0.0,0.0
123,Myanmar,total arrivals,thousands,3551.0,4364.0,903.0,131.0,233.0,1836.4,No Go,21.913965,95.956223,0.0,0.0
124,Namibia,total arrivals,thousands,1639.0,1651.0,187.1,261.3,528.0,853.28,Go,-22.95764,18.49041,25.0,2.3
125,Nepal,total arrivals,thousands,1173.0,1197.0,230.0,151.0,614.8,673.1600000000001,Go,28.394857,84.124008,25.0,2.2
